"A" "B" "C"
"972" "yes" "no" "no"
"973" "yes" "no" "no"
"974" "yes" "yes" "no"
"975" "no" "no" "no"
"976" "no" "no" "yes"
"977" "yes" "yes" "no"
"978" "yes" "no" "no"
"979" "no" "yes" "yes"
"980" "yes" "yes" "no"
"981" "yes" "no" "no"
"982" "no" "no" "yes"
"983" "yes" "yes" "yes"
"984" "yes" "no" "yes"
"985" "yes" "yes" "no"
"986" "yes" "yes" "no"
"987" "yes" "no" "no"
"988" "no" "yes" "no"
"989" "yes" "no" "no"
"990" "no" "no" "yes"
"991" "no" "no" "yes"
"992" "no" "no" "no"
"993" "yes" "no" "no"
"994" "yes" "yes" "no"
"995" "yes" "no" "no"
"996" "no" "no" "yes"
"997" "no" "no" "yes"
"998" "no" "no" "yes"
"999" "yes" "yes" "no"
"1000" "yes" "no" "no"
